time,section_raw_DOF1,section_baseline_DOF1,section_relative_DOF1,inertia_raw_DOF1,inertia_baseline_DOF1,inertia_relative_DOF1,dynamic_DOF1,section_raw_DOF2,section_baseline_DOF2,section_relative_DOF2,inertia_raw_DOF2,inertia_baseline_DOF2,inertia_relative_DOF2,dynamic_DOF2,tower_base_shear
0.24000000000000007,109331.85405700328,32443.81251679687,76888.04154020641,538984.3911953799,-159869.7557506284,698854.1469460083,-621966.1054058019,-2335510376.822217,-2335510376.821715,-0.0005021095275878906,-9.657008643044335e-06,0.0,-9.657008643044335e-06,-0.0004924525189448463,-621966.1054058019
0.25000000000000006,125001.09009885788,32443.81251679687,92557.27758206101,338865.7361143724,-159869.7557506284,498735.4918650008,-406178.2142829398,-2335510376.8224072,-2335510376.821715,-0.0006923675537109375,-1.1367433246541048e-05,0.0,-1.1367433246541048e-05,-0.0006810001204643965,-406178.2142829398
0.26000000000000006,195404.193324571,32443.81251679687,162960.38080777414,-127067.37369801183,-159869.7557506284,32802.382052616565,130157.99875515758,-2335510376.822646,-2335510376.821715,-0.0009312629699707031,-1.2570555464441746e-05,0.0,-1.2570555464441746e-05,-0.0009186924145062614,130157.99875515758
0.2700000000000001,196464.5735092531,32443.81251679687,164020.76099245623,-153114.79959350266,-159869.7557506284,6754.956157125736,157265.8048353305,-2335510376.8229394,-2335510376.821715,-0.001224517822265625,-1.3675291000471435e-05,0.0,-1.3675291000471435e-05,-0.0012108425312651536,157265.8048353305
0.2800000000000001,79066.4549943083,32443.81251679687,46622.64247751143,263826.2539244135,-159869.7557506284,423696.0096750419,-377073.36719753046,-2335510376.8232923,-2335510376.821715,-0.0015773773193359375,-1.4427505412365621e-05,0.0,-1.4427505412365621e-05,-0.0015629498139235719,-377073.36719753046
0.2900000000000001,40915.133364040405,32443.81251679687,8471.320847243536,363625.30426627514,-159869.7557506284,523495.06001690356,-515023.73916966,-2335510376.8237076,-2335510376.821715,-0.0019927024841308594,-1.486637770059876e-05,0.0,-1.486637770059876e-05,-0.0019778361064302606,-515023.73916966
0.3000000000000001,38990.12036524061,32443.81251679687,6546.307848443743,208844.37907695078,-159869.7557506284,368714.13482757914,-362167.8269791354,-2335510376.8241873,-2335510376.821715,-0.002472400665283203,-1.4676965717129453e-05,0.0,-1.4676965717129453e-05,-0.0024577236995660737,-362167.8269791354
0.3100000000000001,-146358.79280181415,32443.81251679687,-178802.60531861102,749609.5454054411,-159869.7557506284,909479.3011560695,-1088281.9064746806,-2335510376.824732,-2335510376.821715,-0.003016948699951172,-1.3852391312650647e-05,0.0,-1.3852391312650647e-05,-0.0030030963086385212,-1088281.9064746806
0.3200000000000001,-233893.864175729,32443.81251679687,-266337.67669252586,859352.3590534821,-159869.7557506284,1019222.1148041105,-1285559.7914966363,-2335510376.8253384,-2335510376.821715,-0.003623485565185547,-1.188293669383833e-05,0.0,-1.188293669383833e-05,-0.0036116026284917085,-1285559.7914966363
0.3300000000000001,-433888.9306631116,32443.81251679687,-466332.7431799085,1211324.5410954775,-159869.7557506284,1371194.296846106,-1837527.0400260144,-2335510376.8259993,-2335510376.821715,-0.004284381866455078,-8.692400738946615e-06,0.0,-8.692400738946615e-06,-0.0042756894657161315,-1837527.0400260144
0.34000000000000014,-452850.67051917966,32443.81251679687,-485294.48303597653,914567.3035681878,-159869.7557506284,1074437.059318816,-1559731.5423547926,-2335510376.826701,-2335510376.821715,-0.004986286163330078,-3.5329097867187187e-06,0.0,-3.5329097867187187e-06,-0.004982753253543359,-1559731.5423547926
0.35000000000000014,-383861.8683118955,32443.81251679687,-416305.6808286924,244765.6438227961,-159869.7557506284,404635.3995734245,-820941.0804021169,-2335510376.8274217,-2335510376.821715,-0.005706787109375,4.11553083892735e-06,0.0,4.11553083892735e-06,-0.005710902640213927,-820941.0804021169
0.36000000000000015,147467.2392280833,32443.81251679687,115023.42671128642,-1740646.2879475313,-159869.7557506284,-1580776.532196903,1695799.9589081893,-2335510376.828127,-2335510376.821715,-0.006412029266357422,1.479746937213533e-05,0.0,1.479746937213533e-05,-0.006426826735729557,1695799.9589081893
0.37000000000000016,358378.27260046266,32443.81251679687,325934.4600836658,-2223303.3392203413,-159869.7557506284,-2063433.5834697129,2389368.0435533784,-2335510376.828771,-2335510376.821715,-0.007056236267089844,2.536605780273371e-05,0.0,2.536605780273371e-05,-0.0070816023248925775,2389368.0435533784
0.38000000000000017,522305.1857940806,32443.81251679687,489861.37327728374,-1946419.3496284506,-159869.7557506284,-1786549.5938778222,2276410.967155106,-2335510376.8293133,-2335510376.821715,-0.007598400115966797,2.8853721051935732e-05,0.0,2.8853721051935732e-05,-0.007627253837018733,2276410.967155106
0.3900000000000002,912894.7229210925,32443.81251679687,880450.9104042957,-2600062.110819634,-159869.7557506284,-2440192.355069006,3320643.2654733015,-2335510376.8297405,-2335510376.821715,-0.008025646209716797,2.3390858358673938e-05,0.0,2.3390858358673938e-05,-0.00804903706807547,3320643.2654733015
0.4000000000000002,877740.1262406749,32443.81251679687,845296.313723878,-1587654.2468962902,-159869.7557506284,-1427784.4911456618,2273080.80486954,-2335510376.8300767,-2335510376.821715,-0.00836181640625,1.3383870024974431e-05,0.0,1.3383870024974431e-05,-0.008375200276274974,2273080.80486954
0.4100000000000002,839036.7887860006,32443.81251679687,806592.9762692037,-641466.0857478603,-159869.7557506284,-481596.32999723183,1288189.3062664354,-2335510376.830377,-2335510376.821715,-0.008662223815917969,4.346386620057707e-08,0.0,4.346386620057707e-08,-0.00866226727978417,1288189.3062664354
0.4200000000000002,932163.9356829943,32443.81251679687,899720.1231661974,-571397.6755926487,-159869.7557506284,-411527.91984202026,1311248.0430082176,-2335510376.830716,-2335510376.821715,-0.00900125503540039,-1.5181509469525123e-05,0.0,-1.5181509469525123e-05,-0.008986073525930866,1311248.0430082176
0.4300000000000002,912770.5505927512,32443.81251679687,880326.7380759544,-245836.62905159846,-159869.7557506284,-85966.87330097007,966293.6113769244,-2335510376.831172,-2335510376.821715,-0.009457111358642578,-2.9325828084965366e-05,0.0,-2.9325828084965366e-05,-0.009427785530557613,966293.6113769244
0.4400000000000002,775582.6836594734,32443.81251679687,743138.8711426766,409109.76279268623,-159869.7557506284,568979.5185433147,174159.3525993619,-2335510376.8318224,-2335510376.821715,-0.01010751724243164,-4.163638179030191e-05,0.0,-4.163638179030191e-05,-0.010065880860641339,174159.3525993619
0.45000000000000023,837772.9582978953,32443.81251679687,805329.1457810984,154085.06988994702,-159869.7557506284,313954.8256405754,491374.320140523,-2335510376.8327293,-2335510376.821715,-0.011014461517333984,-5.2441555938913254e-05,0.0,-5.2441555938913254e-05,-0.010962019961395071,491374.320140523
0.46000000000000024,728975.0090226061,32443.81251679687,696531.1965058092,393567.812271339,-159869.7557506284,553437.5680219674,143093.62848384178,-2335510376.8339458,-2335510376.821715,-0.012230873107910156,-5.9665233739777945e-05,0.0,-5.9665233739777945e-05,-0.012171207874170378,143093.62848384178
0.47000000000000025,1086577.8507454568,32443.81251679687,1054134.03822866,-905482.550105525,-159869.7557506284,-745612.7943548965,1799746.8325835564,-2335510376.8355055,-2335510376.821715,-0.013790607452392578,-6.39290466220438e-05,0.0,-6.39290466220438e-05,-0.013726678405770534,1799746.8325835564
0.48000000000000026,1395016.9694141652,32443.81251679687,1362573.1568973684,-1960715.688536992,-159869.7557506284,-1800845.9327863636,3163419.089683732,-2335510376.837426,-2335510376.821715,-0.015711307525634766,-6.667635230857283e-05,0.0,-6.667635230857283e-05,-0.015644631173326193,3163419.089683732
0.49000000000000027,1730098.9277874469,32443.81251679687,1697655.11527065,-2512236.250558828,-159869.7557506284,-2352366.4948082,4050021.61007885,-2335510376.8397193,-2335510376.821715,-0.018004417419433594,-7.14427482720742e-05,0.0,-7.14427482720742e-05,-0.01793297467116152,4050021.61007885
0.5000000000000002,1902975.6333169583,32443.81251679687,1870531.8208001615,-2386565.508221938,-159869.7557506284,-2226695.7524713096,4097227.573271471,-2335510376.8424063,-2335510376.821715,-0.020691394805908203,-8.153919117488695e-05,0.0,-8.153919117488695e-05,-0.020609855614733316,4097227.573271471
0.5100000000000002,1850757.5657437663,32443.81251679687,1818313.7532269694,-1298421.9979984327,-159869.7557506284,-1138552.2422478043,2956865.9954747735,-2335510376.8455305,-2335510376.821715,-0.023815631866455078,-9.736623638265107e-05,0.0,-9.736623638265107e-05,-0.023718265630072427,2956865.9954747735
0.5200000000000002,1626643.3479813756,32443.81251679687,1594199.5354645788,47459.83175043148,-159869.7557506284,207329.58750105987,1386869.947963519,-2335510376.849165,-2335510376.821715,-0.027450084686279297,-0.0001152939676402065,0.0,-0.0001152939676402065,-0.02733479071863909,1386869.947963519
0.5300000000000002,1699772.0784834162,32443.81251679687,1667328.2659666194,1967.1771553315625,-159869.7557506284,161836.93290595995,1505491.3330606595,-2335510376.8533955,-2335510376.821715,-0.03168058395385742,-0.0001308975677158375,0.0,-0.0001308975677158375,-0.031549686386141584,1505491.3330606595
