time,displacement,displacement_increment,absolute_displacement,acceleration,tower_base_moment,tower_base_shear,damper_force,damper_stroke,ground_displacement,ground_velocity,ground_acceleration
23.820000000000924,-0.07579638191798443,-0.07579638191798443,-0.3670898489144713,0.5315819341618253,-42039143.426351786,28551272.795937363,-428781.91524054774,0.07426505624995616,0.04109677439500113,-0.023372600999999868,-0.554039
23.830000000000926,-0.07522972886420587,-0.07522972886420587,-0.3665231344441491,0.39806150901451515,-100738469.3950541,27286741.451162327,-472319.73889504856,0.07397309506255001,0.040838557900001134,-0.02827069799999987,-0.4255804
23.840000000000927,-0.07462533626956411,-0.07462533626956411,-0.36591868126182,0.18187668233731533,-153506168.85230565,21690772.06175535,-515759.8254924471,0.07364563775076655,0.04053989165500114,-0.031462550999999866,-0.2127902
23.85000000000093,-0.07400020634878299,-0.07400020634878299,-0.3652934916864001,0.06767817188529661,-197930228.01916003,18981615.172169413,-556261.9402897554,0.07328280860793154,0.04021739683000114,-0.03303641399999987,-0.1019824
23.86000000000093,-0.07337295553228482,-0.07337295553228482,-0.3646661822539285,-0.232410737701177,-228145857.7629385,10261447.694298882,-591077.2449603518,0.07288755532616406,0.03988941064500114,-0.03256082299999987,0.1971006
23.870000000000932,-0.07275918724602107,-0.07275918724602107,-0.36405235649704343,-0.1421954380532493,-249412805.80613804,11388071.877279758,-618668.3468856061,0.07246497907995814,0.03957137755000115,-0.031045795999999872,0.1059048
23.880000000000933,-0.07216213916584371,-0.07216213916584371,-0.36345525219863883,-0.1520567254117888,-262597494.99322176,11041486.040693615,-638678.8567713548,0.07202140134271362,0.03926648449500115,-0.029932814999999873,0.1166914
23.890000000000935,-0.07156773020983631,-0.07156773020983631,-0.3628607883831868,0.34070216604032494,-282723088.99021435,24113607.66348418,-653598.5650653944,0.07156237216379505,0.03896065987000115,-0.031232109999999872,-0.3765504
23.900000000000936,-0.07095072635831032,-0.07095072635831032,-0.36224373113530395,0.374432561878764,-308704276.6677749,27672351.25996036,-668652.7338407461,0.07108999319968934,0.03862865322500115,-0.03516921899999987,-0.4108714
23.910000000000938,-0.07031168737425603,-0.07031168737425603,-0.36160464031858197,-0.20817657940577003,-326813733.2289734,11517947.476325762,-688822.4596633256,0.07060182213683322,0.03827090583000115,-0.03638025999999987,0.1686632
23.92000000000094,-0.06968055717456031,-0.06968055717456031,-0.3609734599470725,-0.27447953078878407,-334899188.1263318,7530028.459706138,-709714.3055647599,0.07009511989468795,0.03791717889500115,-0.03436512699999987,0.2343634
23.93000000000094,-0.06907284960141893,-0.06907284960141893,-0.3603657039596104,-0.1798397209114505,-335244631.4908242,9448441.252259368,-722814.8715269138,0.06957298447117788,0.03758289235500115,-0.03249218099999987,0.1402258
23.940000000000943,-0.06848734036168905,-0.06848734036168905,-0.359780148160659,-0.2538485678158057,-329124228.853776,6649127.033824548,-729836.8309793809,0.06904234833901013,0.03726686949000115,-0.03071239199999987,0.215732
23.950000000000944,-0.06793446991168481,-0.06793446991168481,-0.35922723310329263,-0.6180928068582413,-309124686.48722816,-4946630.383541562,-733743.2826802398,0.06850696410493679,0.036979651750001154,-0.02673115599999987,0.5805152
23.960000000000946,-0.06743349553313874,-0.06743349553313874,-0.35872621616428124,-0.5858905526659305,-278098464.2441199,-7260069.941604573,-731616.3840507952,0.0679709502593211,0.036740630500001155,-0.021073093999999872,0.5510972
23.970000000000947,-0.06698681615852303,-0.06698681615852303,-0.3582794963703934,-0.38201189275325725,-242083323.1402316,-3072290.4007706232,-720707.6990979086,0.06744113574457669,0.03655242884500116,-0.016567236999999874,0.3500742
23.98000000000095,-0.06657729391648529,-0.06657729391648529,-0.3578699359442139,-0.1364603701616001,-209319604.99851012,2655032.946134311,-704372.0007398773,0.06692385084571234,0.03639820498000116,-0.014277535999999874,0.107866
23.99000000000095,-0.06618963221673654,-0.06618963221673654,-0.3574822383878997,-0.2195821615364069,-177405804.92001534,297697.43108770996,-688265.5935514434,0.06642121587628608,0.03626293121000116,-0.012777217999999873,0.1921976
24.000000000000952,-0.06582641055694388,-0.06582641055694388,-0.3571189832891872,-0.4020736108286349,-141686505.46924043,-6417026.77953848,-673939.8078415155,0.06593219726699223,0.03614937773000116,-0.009933477999999872,0.3765504
24.010000000000954,-0.06549489150711552,-0.06549489150711552,-0.35678743330624585,-0.24447524765609022,-105379137.67259502,-3665750.845319632,-658352.361435173,0.0654565658004318,0.03606497258500116,-0.006947550999999873,0.220635
24.020000000000955,-0.06518770991998002,-0.06518770991998002,-0.3564802233792241,-0.08257813064335782,-72143281.14188647,396647.3415939156,-639967.9045618831,0.06499607626383982,0.03600255739500116,-0.005535486999999873,0.0617778
24.030000000000957,-0.06488917058668245,-0.06488917058668245,-0.3561816583861035,0.0638599476913602,-45938669.59547758,4355682.449415101,-622347.8307934293,0.06455142462375768,0.035946663195001165,-0.005643352999999873,-0.083351
24.04000000000096,-0.06459242455283973,-0.06459242455283973,-0.3558848894581039,-0.11693277998743831,-20779829.461681366,-419518.15508645773,-608439.7065471929,0.06412046048360495,0.03589062190500117,-0.005564904999999873,0.0990406
24.05000000000096,-0.06431378432694687,-0.06431378432694687,-0.3556062291877049,-0.554314896941954,14384602.373098612,-14034957.520294284,-597281.2935102874,0.06370032087995367,0.03585088309000117,-0.0023828579999998723,0.5373688
24.06000000000096,-0.06407973917573934,-0.06407973917573934,-0.35537216692433166,-0.5583577071628717,59012514.322882414,-17102662.28911887,-582856.538958263,0.06329134527755198,0.035854119070001175,0.0030300540000001274,0.5452136
24.070000000000963,-0.0638933463692368,-0.0638933463692368,-0.3551857600199777,-0.2351840495023861,104156666.40230942,-9532105.11202527,-560165.2226020586,0.06289855424728114,0.035903712915001176,0.006888715000000127,0.2265186
24.080000000000965,-0.06372786467887653,-0.06372786467887653,-0.35502026732749026,0.19219090496866117,137773250.33715892,2333929.2166651273,-533410.3496069547,0.06252693922145225,0.03597336003000118,0.007040708000000126,-0.19612
24.090000000000966,-0.06356331435663914,-0.06356331435663914,-0.3548557091790303,-0.18651237460954606,170397953.47590113,-6939093.817248354,-511158.88107086415,0.06217586422964472,0.03604347293000118,0.006981872000000127,0.1843528
24.100000000000968,-0.06339942735427981,-0.06339942735427981,-0.3546918176048324,0.15423955074088821,193594530.58524442,343781.82195379725,-494633.43693032133,0.06184080892082977,0.03611405161500118,0.007133865000000126,-0.1539542
24.11000000000097,-0.06322721206888599,-0.06322721206888599,-0.3545196010790579,0.21113384531268795,210624100.47290134,4209657.926530495,-480048.0195849717,0.06151853816927033,0.03617631971500118,0.005319755000000126,-0.2088678
24.12000000000097,-0.06305344965279172,-0.06305344965279172,-0.35434584083011167,-0.514658606798405,237899521.06450343,-16719229.912145764,-470298.87241803284,0.061206120163821265,0.036237264005001185,0.006869103000000126,0.5187374
24.130000000000972,-0.06291337985942899,-0.06291337985942899,-0.35420577668565545,-0.5296285092206386,275257127.133451,-20459561.3972238,-461151.9176412882,0.06090140809317879,0.03633233317500119,0.012144731000000127,0.5363882
24.140000000000974,-0.06282487830793687,-0.06282487830793687,-0.3541172843351857,-0.48895613421739514,322048983.63145447,-20674692.74108991,-441963.23480601807,0.06060844569303048,0.03647974187000119,0.01733700800000013,0.5020672
24.150000000000976,-0.0627882618112745,-0.0627882618112745,-0.35408068065658094,-0.5680060969472067,375910568.23191476,-24808996.931656204,-414826.4703971016,0.060334299800135355,0.036680323600001195,0.022779338000000128,0.5863988
24.160000000000977,-0.06280724091726486,-0.06280724091726486,-0.35409967625665206,-0.5990028189202659,436284647.0770333,-27863824.019302566,-382852.919893486,0.0600836744638415,0.0369383684900012,0.02882964000000013,0.6236616
24.17000000000098,-0.0628714954045379,-0.0628714954045379,-0.35416395096583103,-0.045152629527694235,488519300.3937378,-14307741.71987716,-344729.7751025259,0.059860358729304064,0.0372441440850012,0.03232547900000013,0.0755062
24.18000000000098,-0.06295675367078632,-0.06295675367078632,-0.3542492332258812,-0.1509939568740511,536713904.87919545,-15951016.217641562,-305408.0022099139,0.05966632548043199,0.0375739443800012,0.03363458000000013,0.186314
24.190000000000982,-0.06305820671556053,-0.06305820671556053,-0.3543507140750682,-0.3008030221960223,583422803.3268921,-21923116.10764291,-271373.17069837975,0.05949912053093934,0.037923405705001204,0.03625768500000013,0.338307
24.200000000000983,-0.063169893510858,-0.063169893510858,-0.3544624325187997,0.3431366105828243,615669565.1495881,-4544402.872290833,-238997.72801363555,0.05935551938971634,0.03828688961000121,0.03643909600000013,-0.3020248
24.210000000000985,-0.06327105532340205,-0.06327105532340205,-0.3545636298497662,0.03549233368216189,643658157.6647475,-10495610.902548593,-209361.61869831575,0.05923329242003561,0.038643901555001206,0.03496329300000013,0.0068642
24.220000000000987,-0.06335904213471288,-0.06335904213471288,-0.35465165607484855,0.11287877138122618,663902509.5800302,-9898728.11235297,-189717.57965248695,0.059127565931370085,0.03899194101000121,0.03464459800000013,-0.0706032
24.230000000000988,-0.06343392647620313,-0.06343392647620313,-0.35472658375425187,0.2628489163794481,677545842.4891591,-4113460.9502560124,-174171.14056325037,0.05903337043835705,0.039331106035001215,0.03318840700000013,-0.220635
24.24000000000099,-0.06350022952360512,-0.06350022952360512,-0.35479293409096835,-0.2953662745375211,697805693.0573708,-19314758.23503286,-162587.91926455713,0.058947878549660354,0.03966590739000122,0.03377186400000013,0.3373264
24.25000000000099,-0.06357616030372384,-0.06357616030372384,-0.35486891613458194,-0.05734680370344427,717650522.6594597,-14878308.71305031,-152616.9838537101,0.05886917313234896,0.04001453520500122,0.03595369900000013,0.0990406
24.260000000000993,-0.06366354485607137,-0.06366354485607137,-0.3549563559265806,-0.048250053457018126,738993644.9786066,-13478692.535570761,-136590.53929947535,0.05879847370446692,0.040378852620001224,0.03690978400000013,0.0921764
24.270000000000994,-0.06375571043767286,-0.06375571043767286,-0.3550485806954602,-0.03755216462073991,758315267.3834462,-13944466.486951489,-119543.20672087898,0.05873771903609129,0.04075228961500123,0.03777761500000013,0.0813898
24.280000000000996,-0.06384766999062214,-0.06384766999062214,-0.35514060334000574,0.13147951609948644,772838547.5632399,-8764585.755061096,-103791.24345150059,0.058686524007921986,0.04112991867500123,0.03774819700000013,-0.0872734
24.290000000000997,-0.06393995546155362,-0.06393995546155362,-0.3552329557558609,-0.23851739988756535,792103184.2846122,-18538505.53955383,-89518.71153296618,0.05864377921036035,0.04151225461500123,0.038718991000000126,0.2814322
24.300000000001,-0.06404395653321562,-0.06404395653321562,-0.35533702755877483,-0.12318003863452308,811940492.7401857,-17104631.101364385,-75709.93813288135,0.05860864127225346,0.04191062336500123,0.040954759000000125,0.1657214
24.310000000001,-0.06416508421495998,-0.06416508421495998,-0.35545822961730106,-0.20033274733608147,835813417.1060761,-18729805.865196757,-55885.72981284799,0.058582138665456474,0.04233039371000123,0.042999310000000124,0.2431888
24.320000000001002,-0.06429948703744795,-0.06429948703744795,-0.3555927100902438,-0.007291043354144007,856337321.3430852,-14588188.504274052,-30363.867483474292,0.058566349788638006,0.04276774131000123,0.04447021000000012,0.0509912
24.330000000001004,-0.06444630848718019,-0.06444630848718019,-0.3557396112608541,-0.2819180935082597,881767257.1430297,-21325801.986260593,7293.437605804047,0.05856188232643572,0.043221906200001235,0.046362768000000124,0.3275204
24.340000000001005,-0.06461662995684186,-0.06461662995684186,-0.3559100149719175,-0.36898442945458176,912032380.9314611,-25994415.367859483,37787.16243322814,0.05856876271414571,0.043704018190001234,0.050059630000000126,0.411852
