time,Pair1_36_517_DOF1_rel_disp,Pair1_36_517_DOF1_rel_vel,Pair1_36_517_DOF1_damper_force,Pair2_36_518_DOF1_rel_disp,Pair2_36_518_DOF1_rel_vel,Pair2_36_518_DOF1_damper_force,Pair3_107_520_DOF1_rel_disp,Pair3_107_520_DOF1_rel_vel,Pair3_107_520_DOF1_damper_force,Pair4_107_521_DOF1_rel_disp,Pair4_107_521_DOF1_rel_vel,Pair4_107_521_DOF1_damper_force
0.7800000000000005,-0.001878972230567072,-0.007655889510794992,-154173.63711087906,-0.0018807593357225705,-0.007651536445868502,-154103.5038081751,-0.0018789722053487445,-0.007655889361483053,-154173.63470541436,-0.0018807593104967213,-0.007651536296482821,-154103.50140124865
0.7900000000000005,-0.00195770078134086,-0.008089820643960716,-161125.65906962065,-0.001959459043631484,-0.008088405135915022,-161103.10443778778,-0.001957700754590397,-0.008089820486840166,-161125.6565661138,-0.0019594590168722503,-0.008088404978621325,-161103.1019314343
0.8000000000000005,-0.002040103757765782,-0.008390774641018093,-165903.38143040286,-0.002041878264378988,-0.008395439013578788,-165977.1569475187,-0.0020401037294122404,-0.008390774477522556,-165903.3788442805,-0.002041878236014677,-0.008395438849857776,-165977.15435811767
0.8100000000000005,-0.002124947384044007,-0.008577950614624475,-168857.52739086113,-0.002126777998833207,-0.008584507877269346,-168960.78361986324,-0.002124947354023965,-0.008577950444822544,-168857.5247168113,-0.00212677796880012,-0.008584507707224366,-168960.78094239507
0.8200000000000005,-0.002211629125746295,-0.008758397725845374,-171693.2899840852,-0.0022135214352029253,-0.008764179396685732,-171783.95575262184,-0.0022116290939933614,-0.0087583975490469,-171693.2872114217,-0.002213521403434282,-0.008764179219601403,-171783.95297584194
0.8300000000000005,-0.0023000473200810445,-0.00892524114109553,-174304.8852253536,-0.0023020053820371755,-0.008932609970154406,-174420.00295709356,-0.002300047286521112,-0.008925240956496685,-174304.88234126518,-0.002302005348458508,-0.008932609785241647,-174420.0000685775
0.8400000000000005,-0.0023901658081360577,-0.009098456469920146,-177005.91099096226,-0.0023921853675853977,-0.009103387139499854,-177082.6457977574,-0.002390165772681835,-0.009098456275650937,-177005.90796743418,-0.00239218533210922,-0.009103386944898376,-177082.64276938615
0.8500000000000005,-0.002482498552237311,-0.009368092350330589,-181190.12431237267,-0.0024845466628180546,-0.00936887190702828,-181202.18626004262,-0.0024824985147789136,-0.00936809214376167,-181190.12111614048,-0.002484546625334122,-0.009368871700074357,-181202.18305790654
0.8600000000000005,-0.002578048231564878,-0.009741843515166167,-186950.44859543274,-0.0025800897845653648,-0.009739752442427306,-186918.34498975443,-0.0025780481919669695,-0.009741843293846805,-186950.44519765658,-0.0025800897449377025,-0.009739752220645388,-186918.34158473078
0.8700000000000006,-0.0026776531151662675,-0.010179133205123928,-193634.2734797732,-0.002679667016222631,-0.010175693889032306,-193581.93173601138,-0.002677653073269115,-0.010179132966585479,-193634.269849663,-0.002679666974290673,-0.010175693649947564,-193581.92809734168
0.8800000000000006,-0.002782027045412583,-0.010695652844143044,-201455.64019244365,-0.0027839880160101527,-0.010688506068486727,-201347.94376544066,-0.0027820270010277814,-0.01069565258514605,-201455.63628981842,-0.0027839879715846616,-0.010688505808852389,-201347.93985268875
0.8900000000000006,-0.0028923779749047696,-0.011374533054293607,-211621.8243141865,-0.0028942393351615303,-0.011361757761784934,-211431.65671946318,-0.0028923779278098305,-0.011374532771261688,-211621.82010156653,-0.002894239288018796,-0.011361757477971395,-211431.65249426014
0.9000000000000006,-0.003010003647873627,-0.012150601539488493,-223096.01637030262,-0.0030117427895495763,-0.012138933115829144,-222924.60566864096,-0.003010003597813782,-0.012150601229529752,-223096.0118174047,-0.003011742739433332,-0.012138932804936196,-222924.60110114314
0.9100000000000006,-0.003135309468452918,-0.012910562576370372,-234190.7437757297,-0.003136944117234197,-0.012901332421098359,-234056.79010792723,-0.003135309415145837,-0.012910562236885689,-234190.73884927228,-0.0031369440638606694,-0.01290133208053233,-234056.78516507085
0.9200000000000006,-0.0032680165335777223,-0.013630850448596684,-244586.20277802524,-0.003269577689873293,-0.013625382106722195,-244507.70234141764,-0.003268016476715374,-0.013630850077032726,-244586.19744427636,-0.0032695776329328963,-0.013625381733923707,-244507.69698951772
0.9300000000000006,-0.003407263187878151,-0.014218480411483155,-252985.7967462302,-0.0034088119484534385,-0.014221469609305898,-253028.34467956275,-0.0034072631271286624,-0.01421848000561935,-252985.7909690852,-0.0034088118876129114,-0.014221469202076356,-253028.3388832213
0.9400000000000006,-0.003551436239366379,-0.014616129886176225,-258630.36174280834,-0.0035530494836367166,-0.014626037427360319,-258770.6022762916,-0.003551436174376532,-0.014616129443959736,-258630.35548284143,-0.003553049418541454,-0.014626036983640124,-258770.5959958897
0.9500000000000006,-0.0036990767540986402,-0.014911973060273202,-262809.875570216,-0.0037008002307105103,-0.014924111987398212,-262981.0116258815,-0.003699076684494207,-0.014911972579585642,-262809.8687928734,-0.003700800160984785,-0.014924111505031645,-262981.00482597284
0.9600000000000006,-0.0038495281154232175,-0.015178299204639383,-266558.22023237735,-0.0038513773005430796,-0.0151913019791198,-266740.8862640572,-0.003849528040810485,-0.015178298683665721,-266558.21291299,-0.0038513772257911527,-0.015191301456237764,-266740.87891911634
0.9700000000000006,-0.004003020297946636,-0.015520137300044548,-271350.13341575523,-0.004004973342833562,-0.015527906478967714,-271458.7954558168,-0.004003020217915237,-0.015520136737286933,-271350.1255444664,-0.0040049732626423196,-0.015527905913998833,-271458.78755438986
0.9800000000000006,-0.004160715335990661,-0.016018870308752688,-278303.77706732374,-0.004162726931840055,-0.01602281132232526,-278358.5510662607,-0.0041607152501109135,-0.016018869701847353,-278303.76863206987,-0.004162726845776926,-0.016022810712925713,-278358.5425967569
0.9900000000000007,-0.00432337441069125,-0.016512944631366593,-285149.8923958088,-0.004325449883293142,-0.01652177896830012,-285271.9288000966,-0.004323374318507545,-0.016512943977482795,-285149.88336265826,-0.004325449790899882,-0.0165217783116685,-285271.91972995613
1.0000000000000007,-0.004490489175967671,-0.016910008423921524,-290622.1099245974,-0.004492664817528524,-0.01692120787877521,-290776.0823466049,-0.0044904890769995875,-0.016910007720930605,-290622.10025909275,-0.0044926647183218815,-0.016921207172731836,-290776.0726404171
