Time,Damp2000_UX,Damp2010_UX,Damp3000_UX,Damp3010_UX
3.76,4.996119227E-02,4.998684614E-02,-4.617678368E-02,-4.620466538E-02
3.77,4.999612729E-02,5.00221898E-02,-4.625125354E-02,-4.627956889E-02
3.78,5.000975413E-02,5.003611935E-02,-4.632611353E-02,-4.635490024E-02
3.79,5.000780471E-02,5.003440593E-02,-4.639575731E-02,-4.642501412E-02
3.8,4.999453629E-02,5.002134703E-02,-4.645608437E-02,-4.64857704E-02
3.81,4.996496683E-02,4.999196741E-02,-4.65122642E-02,-4.654233249E-02
3.82,4.991182681E-02,4.993894384E-02,-4.657178144E-02,-4.660223945E-02
3.83,4.983034736E-02,4.985747131E-02,-4.663964547E-02,-4.667053773E-02
3.84,4.971531444E-02,4.974232704E-02,-4.672133633E-02,-4.675271732E-02
3.85,4.95715576E-02,4.95983279E-02,-4.681231629E-02,-4.684425454E-02
3.86,4.941488541E-02,4.944135695E-02,-4.689709503E-02,-4.692958617E-02
3.87,4.925896791E-02,4.928519215E-02,-4.696234886E-02,-4.699528234E-02
3.88,4.91124445E-02,4.91385178E-02,-4.69998116E-02,-4.703303366E-02
3.89,4.89823539E-02,4.900839026E-02,-4.700284163E-02,-4.703618243E-02
3.9,4.887389864E-02,4.890002735E-02,-4.69666554E-02,-4.699993141E-02
3.91,4.878975482E-02,4.881610648E-02,-4.688901658E-02,-4.692204461E-02
3.92,4.872699609E-02,4.875368553E-02,-4.677331093E-02,-4.68059253E-02
3.93,4.867838771E-02,4.870548195E-02,-4.662725117E-02,-4.665933577E-02
3.94,4.863061755E-02,4.865811958E-02,-4.646464452E-02,-4.649614909E-02
3.95,4.85657646E-02,4.859358901E-02,-4.630392264E-02,-4.633488718E-02
3.96,4.848170648E-02,4.850968823E-02,-4.614773199E-02,-4.617827803E-02
3.97,4.838778905E-02,4.841582448E-02,-4.598726363E-02,-4.601745332E-02
3.98,4.828298591E-02,4.831104549E-02,-4.582409475E-02,-4.585391825E-02
3.99,4.815900482E-02,4.818701406E-02,-4.566708121E-02,-4.569657572E-02
4,4.8014661E-02,4.804250457E-02,-4.551798142E-02,-4.554722704E-02
4.01,4.785672051E-02,4.788431518E-02,-4.537061216E-02,-4.53996589E-02
4.02,4.769047912E-02,4.771779913E-02,-4.522027005E-02,-4.524911257E-02
4.03,4.751726033E-02,4.754429673E-02,-4.506623296E-02,-4.509485117E-02
4.04,4.733952825E-02,4.736626911E-02,-4.490664535E-02,-4.49350241E-02
