Time,Tower_FX,Tower_FY,Tower_MY,Tower_MZ
3.99,211575.602,30275980,-1.267216559E-03,-3807695.85
4,122638.657,30275219.1,-1.068364765E-03,-3255917.27
4.01,123607.384,30274325.2,-1.220988417E-03,-3366673.89
4.02,90135.4741,30273311.5,-1.209939131E-03,-3113852.92
4.03,126746.942,30272189.8,-1.459241856E-03,-3485990.41
4.04,6582.78613,30270973.4,-1.167983653E-03,-2367113.72
4.05,95381.0684,30269667.4,-1.519139758E-03,-3046286.83
4.06,121625.793,30268279.7,-1.699441303E-03,-3304739.41
4.07,154401.046,30266822.7,-1.885407402E-03,-3717981.43
4.08,108758.619,30265303.3,-1.914076052E-03,-3413404.46
4.09,207269.959,30263726.6,-2.163564983E-03,-4436927.09
4.1,213499.909,30262101.4,-2.268492673E-03,-4768918.47
4.11,257763.321,30260436.6,-2.389760346E-03,-5504361.49
4.12,123830.408,30258741.7,-2.452391488E-03,-4537050.14
4.13,72255.2834,30257024.5,-2.61564181E-03,-4047679.79
4.14,89927.9495,30255287.2,-2.797604582E-03,-4093143.99
4.15,203765.747,30253535,-2.862134018E-03,-5153696.56
4.16,106277.911,30251780.4,-3.081968066E-03,-4380306.04
4.17,-20396.4673,30250032.4,-3.456970853E-03,-3067622.14
4.18,42266.0588,30248285.9,-3.593897031E-03,-3307914.9
4.19,-24504.2159,30246553.5,-3.935043166E-03,-2410594.17
4.2,-103192.686,30244844,-4.345850313E-03,-1250921.58
4.21,-6936.04637,30243153.4,-4.280229548E-03,-1643971.92
4.22,45415.5792,30241493.6,-4.160693874E-03,-1858079.18
4.23,74046.2186,30239878.3,-3.986025602E-03,-2001671.3
4.24,129316.239,30238312.7,-3.633540773E-03,-2492054.86
4.25,188022.703,30236805.1,-3.168288384E-03,-3166279.25
4.26,396633.174,30235360.4,-1.921172532E-03,-5503563.58
4.27,222012.883,30233995.9,-2.248809413E-03,-4518996.23
4.28,-120.58985,30232717.4,-3.202897433E-03,-2618765.59
4.29,-28300.14,30231523,-3.587166625E-03,-2052364.83
4.3,40826.8394,30230420.3,-3.446666664E-03,-2393705.61
4.31,-90201.3423,30229420.2,-4.275450811E-03,-927798.004
4.32,-39043.6976,30228521.8,-4.178504198E-03,-975252.207
4.33,-4190.06194,30227726.3,-4.032782669E-03,-980764.734
4.34,91821.481,30227042.4,-3.341807375E-03,-1726587.81
4.35,-289591.709,30226483.9,-5.587522417E-03,2068070.55
4.36,-410013.688,30226041.8,-6.757920001E-03,4184704.83
4.37,-718297.863,30225708.7,-9.358680864E-03,8508927.52
4.38,-716824.817,30225475.1,-1.010362193E-02,10414867.4
4.39,-572497.965,30225341.3,-9.511848334E-03,10829488.3
4.4,-527928.596,30225343.1,-9.007132692E-03,11755814
4.41,-271162.426,30225509.6,-6.616505287E-03,10337454.8
4.42,-32449.0707,30225870.8,-3.742966094E-03,8375627.82
4.43,185710.365,30226439.5,-5.565004975E-04,5919933.62
4.44,5490.52742,30227188.4,-9.888300893E-05,6866407.13
4.45,76863.2022,30228094.4,1.663871422E-03,5713667.42
4.46,314941.006,30229175.8,4.553920677E-03,2724799.61
4.47,-30256.8998,30230404.4,3.286660699E-03,4947512.73
4.48,-74994.8155,30231789.1,3.41405705E-03,5018690.38
4.49,-251952.201,30233345.5,2.263868044E-03,6596052.7
4.5,5628.69975,30235082.4,4.004668955E-03,4216202.46
4.51,-129917.804,30236984.8,3.238003738E-03,5145422.9
4.52,-305117.904,30239030.3,1.935155238E-03,6770536.94
4.53,-577222.388,30241227.4,-4.136819667E-04,9858351.79
4.54,-357065.814,30243584.7,4.042706664E-04,8677000.93
4.55,-143936.283,30246095.7,1.633569225E-03,6991650.72
4.56,-263425.231,30248726.9,9.674780839E-04,8030287.87
4.57,-421251.986,30251479.2,-1.469181462E-04,9748961.12
4.58,-633775.794,30254347.8,-1.865789249E-03,12432000.8
4.59,-447562.63,30257348.5,-1.176942054E-03,11618757.1
4.6,-314733.25,30260480.8,-4.904222851E-04,10834947.7
4.61,-241503.142,30263735.5,6.369567893E-05,10233081.5
4.62,-261186.941,30267113.6,1.172924383E-04,10360138.7
4.63,-109329.255,30270620.5,1.115360461E-03,8796557.21
4.64,-249189.325,30274235.6,5.288545301E-04,9768616.09
4.65,-111985.785,30277970,1.277435139E-03,8284065.9
4.66,-169.296667,30281835.8,1.940037109E-03,6733474.41
4.67,-123171.48,30285791.8,1.425561242E-03,7226479.79
4.68,-226916.103,30289848.8,8.21978754E-04,7855825.88
4.69,318267.803,30294061.5,3.15484453E-03,2268635.4
4.7,189030.91,30298354.6,2.767170334E-03,2084815.36
4.71,450107.905,30302722.2,3.896646698E-03,-1717235.61
4.72,581219.03,30307179.2,4.519753002E-03,-4740072.86
4.73,340280.672,30311660.4,3.684911198E-03,-4335932
4.74,295200.5,30316223.4,3.35675617E-03,-5179350.98
4.75,212564.294,30320887.6,2.842474022E-03,-5405362.78
4.76,82773.4994,30325642.1,2.163913777E-03,-4888127.83
4.77,239909.21,30330486.3,2.316238664E-03,-6834637.08
4.78,123609.145,30335383.1,1.822643602E-03,-6354104.74
4.79,294867.842,30340322,2.058333093E-03,-8422492.77
4.8,77101.5277,30345291.6,1.505289157E-03,-6914473.85
4.81,2361.849,30350299,1.270021597E-03,-6255645.34
4.82,-79438.5984,30355345.4,1.074167964E-03,-5233315.86
4.83,-173239.525,30360416.3,9.155276266E-04,-3859026.67
4.84,-98925.972,30365494.2,1.022014304E-03,-3900817.42
4.85,-202371.893,30370570,9.634936601E-04,-2326331.03
4.86,-125986.37,30375640.5,1.090549718E-03,-2303823.48
4.87,-3027.03544,30380699.1,1.235077251E-03,-2921745.69
4.88,-40326.392,30385760.3,1.275069862E-03,-2267847.11
4.89,21528.0891,30390825.2,1.338944011E-03,-2521577.72
4.9,113967.957,30395894.8,1.372889838E-03,-3228021.29
4.91,75414.552,30400979.7,1.383524172E-03,-2871548.53
4.92,210661.579,30406075.2,1.337240579E-03,-4166507.26
4.93,189522.061,30411185.2,1.314324294E-03,-4220116.59
4.94,273357.199,30416308.7,1.222962796E-03,-5289450.58
4.95,139324.766,30421445.5,1.293196541E-03,-4355838.38
4.96,74975.4142,30426593.5,1.369518735E-03,-3784084.79
4.97,174197.098,30431738.4,1.294675734E-03,-4659082.43
4.98,-215044.028,30436893.6,1.801377677E-03,-886617.792
4.99,-286968.779,30442039.4,2.061376259E-03,670078.146
5,-188311.779,30447146.6,2.070361494E-03,732591.144
5.01,-348437.461,30452222.3,2.385787389E-03,3073122.69
5.02,28699.5081,30457243.7,1.784484561E-03,376100.486
5.03,8349.26267,30462222,1.65368873E-03,704258.407
5.04,-406534.829,30467163.4,2.278126805E-03,4953363.72
5.05,-374189.402,30472023.3,2.258707483E-03,5778881.31
5.06,-183551.895,30476792.8,1.852348901E-03,4918607.96
5.07,-223016.006,30481490,1.760708746E-03,5778309.1
5.08,106276.293,30486115.6,8.532541251E-04,2975474.31
5.09,-139080.055,30490663.6,1.044928793E-03,5089971.29
5.1,-729753.679,30495099.1,2.194402504E-03,11216432.9
5.11,-830828.834,30499392.9,2.58653456E-03,13943614.2
5.12,-462257.624,30503547,1.881945362E-03,12165307.2
5.13,-399178.335,30507586.6,1.57966736E-03,12377781
5.14,-139165.704,30511539.9,7.305090476E-04,10332409.7
5.15,-137328.506,30515392.3,3.574665218E-04,10190691.6
5.16,100990.006,30519123.6,-5.355660511E-04,7591183.12
5.17,239896.791,30522724,-1.257333614E-03,5378007.6
5.18,112007.113,30526146.2,-1.358316599E-03,5445895.07
5.19,-11213.8961,30529376.4,-1.309007128E-03,5805213.91
5.2,84262.5917,30532432.8,-1.612493172E-03,4314141.86
5.21,246963.179,30535315.7,-2.059153598E-03,1912511.26
5.22,240294.123,30537995.9,-2.164197028E-03,798321.442
5.23,192150.731,30540460.5,-2.120166106E-03,149388.844
5.24,273808.184,30542718.2,-2.270729427E-03,-1617810.2
5.25,297993.959,30544755.6,-2.295243329E-03,-2962499.39
5.26,63494.1885,30546551.4,-1.783128644E-03,-1726778.75
5.27,112681.393,30548130.8,-1.706316369E-03,-2676161.19
5.28,-3445.72284,30549484.6,-1.330640771E-03,-2008560.53
5.29,114584.777,30550599.9,-1.351655525E-03,-3379176.56
5.3,117429.349,30551462.8,-1.218634939E-03,-3822387.01
5.31,151535.98,30552060.2,-1.152680279E-03,-4564920.49
5.32,385481.974,30552393.7,-1.421758198E-03,-7335369.44
